Wall time,Step,Value
1733183269.350794,5,37818508.0
1733183269.4895098,6,11622261.0
1733183270.2550411,11,10689853.0
1733183270.698817,14,10174200.0
1733183270.8537679,15,37384512.0
1733183271.3073568,18,4959344.0
1733183271.605655,20,4959248.0
1733183272.1954849,24,32295974.0
1733183274.017549,36,7987292.0
1733183274.6360042,40,19269272.0
1733183274.940722,42,4150718.25
1733183275.237695,44,4150575.0
1733183275.389898,45,21903256.0
1733183275.6966882,47,21902914.0
1733183276.6173818,53,12134096.0
1733183276.797888,54,24278714.0
1733183276.948765,55,24278536.0
1733183277.101624,56,24278554.0
1733183277.261782,57,12032510.0
1733183278.48366,65,21041550.0
1733183278.959481,68,10879418.0
1733183279.416883,71,5528321.5
1733183279.58163,72,26114078.0
1733183279.734396,73,26113868.0
1733183279.888774,74,26113652.0
1733183280.7018292,79,29933130.0
1733183281.937705,87,30007766.0
1733183282.086078,88,30007560.0
1733183283.0087192,94,54945296.0
1733183284.241826,102,20053342.0
1733183284.715188,105,12146925.0
1733183284.876589,106,12146752.0
1733183285.983006,113,14176387.0
1733183286.449065,116,12623075.0
1733183286.760244,118,9203600.0
1733183288.032036,126,6790287.0
1733183288.47435,129,9642523.0
1733183288.6295629,130,9642254.0
1733183290.052125,139,16241561.0
1733183290.384267,141,6289739.0
1733183290.537002,142,6289646.0
1733183290.694627,143,6289553.5
1733183291.811109,150,5457642.5
1733183292.608587,155,11063208.0
1733183292.927474,157,16149070.0
1733183293.079411,158,16148661.0
1733183293.7120352,162,7567062.0
1733183294.528973,167,14516423.0
1733183294.690867,168,6804737.5
1733183295.1858969,171,12749659.0
1733183296.15655,177,13845989.0
1733183296.319621,178,13845817.0
1733183296.645488,180,9318153.0
1733183297.134156,183,7186786.0
1733183297.449755,185,7186492.5
1733183297.609805,186,18992360.0
1733183297.921809,188,18991924.0
1733183298.2334259,190,22686974.0
1733183298.398313,191,22686646.0
1733183299.580255,198,7946292.5
1733183300.846973,206,6438068.5
1733183301.009207,207,20061072.0
1733183301.172931,208,20060852.0
1733183301.854439,212,38674792.0
1733183303.4667451,222,10789128.0
1733183303.6311429,223,10789059.0
1733183303.958362,225,7442874.5
1733183304.613467,229,36880132.0
1733183305.080862,232,23291040.0
1733183305.2384472,233,23290774.0
1733183305.39972,234,16252011.0
1733183305.891628,237,10716345.0
1733183307.7442482,249,10569766.0
1733183308.722937,255,25244384.0
1733183309.2027562,258,15895636.0
1733183309.515268,260,15895244.0
1733183309.673462,261,11352906.0
1733183309.9915452,263,11352575.0
1733183310.61251,267,9270284.0
1733183311.2192268,271,5575815.0
1733183311.5350988,273,5864512.0
1733183312.326318,278,38046100.0
1733183314.574678,292,24158988.0
1733183315.386465,297,5204544.0
1733183315.547859,298,5204474.0
