Wall time,Step,Value
1733183269.350699,5,-1.0
1733183269.489471,6,0.0
1733183270.255007,11,-1.0
1733183270.698784,14,-1.0
1733183270.8537338,15,0.0
1733183271.307321,18,0.0
1733183271.605616,20,0.02857142873108387
1733183272.195393,24,0.0
1733183274.017514,36,0.0
1733183274.63597,40,0.0
1733183274.940684,42,0.0
1733183275.23764,44,-1.0
1733183275.389801,45,0.0
1733183275.696648,47,-1.0
1733183276.617344,53,-1.0
1733183276.7978501,54,0.0
1733183276.948732,55,0.0
1733183277.101589,56,0.04285714402794838
1733183277.261746,57,0.0
1733183278.4836211,65,0.010101010091602802
1733183278.959441,68,-1.0
1733183279.416785,71,-1.0
1733183279.581592,72,0.0
1733183279.73436,73,0.0
1733183279.888739,74,0.02521008439362049
1733183280.701791,79,0.0
1733183281.937665,87,0.0
1733183282.086038,88,0.0
1733183283.008685,94,0.0
1733183284.241787,102,0.0
1733183284.715151,105,0.0
1733183284.876544,106,0.0
1733183285.982971,113,-1.0
1733183286.4490318,116,-1.0
1733183286.760206,118,0.0
1733183288.032001,126,0.0
1733183288.47431,129,0.0
1733183288.629527,130,0.0
1733183290.052025,139,0.0
1733183290.38423,141,0.0
1733183290.536879,142,0.0
1733183290.694596,143,-1.0
1733183291.811073,150,0.0
1733183292.608554,155,-1.0
1733183292.927435,157,0.0
1733183293.079375,158,-1.0
1733183293.711998,162,0.0
1733183294.528883,167,-1.0
1733183294.6908312,168,0.0
1733183295.185865,171,0.0555555559694767
1733183296.1565099,177,0.0
1733183296.319584,178,0.0
1733183296.6454039,180,0.0
1733183297.1340969,183,0.0
1733183297.4496589,185,0.046875
1733183297.609771,186,0.0
1733183297.921715,188,0.0
1733183298.2333922,190,0.0
1733183298.398276,191,-1.0
1733183299.580218,198,0.0
1733183300.846873,206,-1.0
1733183301.009171,207,0.0
1733183301.1728928,208,0.0
1733183301.854401,212,0.0
1733183303.466707,222,0.0
1733183303.631108,223,0.0
1733183303.958325,225,0.0
1733183304.613426,229,0.0
1733183305.080769,232,0.01149425283074379
1733183305.2384121,233,0.0
1733183305.399681,234,0.0
1733183305.891586,237,0.0
1733183307.744213,249,0.0
1733183308.722882,255,0.0
1733183309.202723,258,0.0
1733183309.515169,260,-1.0
1733183309.673425,261,0.0
1733183309.991502,263,-1.0
1733183310.612413,267,0.0
1733183311.2191942,271,0.0
1733183311.534772,273,0.0
1733183312.326279,278,-1.0
1733183314.574641,292,0.0
1733183315.386434,297,0.0714285746216774
1733183315.5478232,298,0.0
1733183316.198832,302,-1.0
1733183316.345113,303,0.0
1733183317.003448,307,0.0
1733183317.164244,308,-1.0
1733183317.484124,310,0.0
1733183318.0471559,313,0.0
1733183318.866079,318,0.0
1733183319.0224152,319,0.0
1733183319.1915572,320,-1.0
1733183320.005663,325,0.0
1733183320.176743,326,-1.0
1733183320.336857,327,0.0
1733183320.826108,330,0.0
1733183322.362566,339,0.0
1733183322.692023,341,-1.0
1733183323.686134,347,-1.0
1733183324.78339,353,0.0
1733183324.952014,354,0.0
1733183325.939688,360,0.0
1733183326.43444,363,0.0
1733183327.111844,367,0.0
1733183327.73617,371,-1.0
1733183328.056076,373,0.0
1733183328.701113,377,-1.0
1733183328.8618371,378,0.0
1733183329.029845,379,0.07692307978868484
1733183329.3786619,381,0.0
1733183330.180927,386,-1.0
1733183330.985766,391,0.020270269364118576
1733183331.164306,392,0.020408162847161293
1733183331.335767,393,0.0
1733183333.738219,408,0.0
1733183334.8624,415,0.0
1733183335.8104908,421,0.0
1733183335.963221,422,-1.0
1733183336.27616,424,0.0
1733183336.5835679,426,0.0
1733183337.195704,430,0.0
1733183338.583905,439,0.0
1733183338.9105,441,0.012500000186264515
1733183339.0749629,442,0.00657894741743803
1733183339.548161,445,0.0
1733183340.5135958,451,0.0
1733183341.795255,459,0.0
1733183341.953491,460,0.0
1733183342.425544,463,0.0
1733183342.588277,464,-1.0
1733183344.034585,473,-1.0
1733183344.193429,474,0.0
1733183345.9500659,485,0.0
1733183346.436484,488,-1.0
1733183346.5970821,489,0.0
1733183346.915654,491,-1.0
1733183347.231371,493,0.0
1733183349.403465,507,0.0
1733183350.179421,512,-1.0
1733183350.490759,514,0.0
1733183350.960547,517,0.0
1733183351.2609751,519,0.0
1733183352.052442,524,-1.0
1733183352.210481,525,0.0
1733183353.174716,531,0.0
1733183353.481673,533,-1.0
1733183353.635675,534,0.0
1733183353.950006,536,-1.0
1733183354.110396,537,0.0
1733183354.601325,540,0.0
1733183354.9199429,542,-1.0
1733183355.696827,547,0.0
1733183355.846816,548,-1.0
1733183357.318885,557,-1.0
1733183357.638592,559,0.0
1733183358.255467,563,-1.0
1733183358.4158049,564,0.0
1733183358.5757592,565,0.0
